Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.8120148498143773,0.8300685883654156,0.8120148498143773,0.820942473988189,0.980749961294991,[128-64],627915
0.7248846889413882,0.729094218836398,0.7248846889413882,0.7269833602166115,0.9499328435031417,"[32-512, 256-32]",1698699
0.7763527955900551,0.7895595556293897,0.7763527955900551,0.7829004833129598,0.9733457313706462,[64-512],4714891
0.8627517156035549,0.8659020291209036,0.8627517156035549,0.8643240017829452,0.9912551732235982,"[64-512, 256-512, 32-64, max, 128-32]",3306859
0.7913713578580268,0.80548318273765,0.7913713578580268,0.7983649153380188,0.9736091234967392,[128-128],1254027
0.901676229047137,0.9074236612727671,0.901676229047137,0.904540815487963,0.9944482293595868,"[32-256, mean, 512-128, mean, mean]",1894219
0.781190235122061,0.7851614374470812,0.781190235122061,0.7831708021507356,0.9753627889810002,[64-128],1179403
0.5552368095398807,0.6046016856929193,0.5552368095398807,0.5788687173022136,0.9037069555403761,[mean],2167
0.8318146023174711,0.8349296357118641,0.8318146023174711,0.8333692081202344,0.9857677752492487,"[128-64, 64-128, mean, 64-512]",1737291
0.86460794240072,0.871425317543921,0.86460794240072,0.8680032441101613,0.9875115441098329,"[256-128, mean]",575371
0.8772077849026887,0.8833377299713451,0.8772077849026887,0.880262085680386,0.9923532929872294,"[128-32, 32-128, 32-64, mean, max]",188523
0.8364270446619417,0.8477554772645982,0.8364270446619417,0.8420531613560236,0.9829492433086908,"[256-64, 64-512, mean, 512-256]",4745483
0.7859151760602993,0.78954277342262,0.7859151760602993,0.7877247983486122,0.9752027262247814,"[64-512, 32-32, 64-256]",2856491
0.8702328720890989,0.8837860659100246,0.8702328720890989,0.8769571066621982,0.9915439762495714,"[256-512, mean, mean, 32-512, mean]",1797803
0.8203959950500619,0.825662422469324,0.8203959950500619,0.8230207840107694,0.9816377378602038,"[256-64, 128-512, mean]",1955403
0.5262121723478457,0.567127589888844,0.5262121723478457,0.5459043041904879,0.8903474510652316,[max],2167
0.6203734953313084,0.6200362025656673,0.6203734953313084,0.6202048030900872,0.9348454068535248,"[max, mean, mean, 128-256, 128-128]",787723
0.724153448081899,0.7349999744875363,0.724153448081899,0.7295363977942895,0.959048667740877,"[512-32, 256-32]",580779
0.8051524355945551,0.8101748309053647,0.8051524355945551,0.8076558254034694,0.9798668530290856,"[128-128, 32-256, mean]",847147
0.7208347395657554,0.7341090021843556,0.7208347395657554,0.7274113166271449,0.9570291338389152,"[128-64, 64-128]",1299723
0.8627517156035549,0.8782791760955482,0.8627517156035549,0.870446204680288,0.9906163920272123,"[256-512, mean, mean, 32-512, mean]",1797803
0.8187085161435482,0.8236312480472836,0.8187085161435482,0.8211625044230474,0.9815118649504058,[64-64],590155
