Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.7918032786885246,0.8089588297875626,0.7918032786885246,0.800289125233742,0.9813423810803548,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.7540983606557377,0.7756347259434276,0.7540983606557377,0.7647149433133276,0.9418861865090029,[128-64],660747
0.7786885245901639,0.7872735043731154,0.7786885245901639,0.7829574820215575,0.9785158559527009,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.5622950819672131,0.5674054721577794,0.5622950819672131,0.564838718208336,0.886532786885246,"[128-32, 32-128, 32-64, mean, max]",220491
0.7918032786885246,0.8053643196863267,0.7918032786885246,0.7985262279490876,0.9773525933888739,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.7672131147540984,0.7817845636284377,0.7672131147540984,0.7744303022511355,0.9733286750873421,"[256-512, mean, mean, 32-512, 32-512, mean]",2434123
0.4278688524590164,0.47159014076001443,0.4278688524590164,0.4486668850479489,0.8574141359849502,"[32-512, 256-32]",1720299
0.8278688524590164,0.8381484679246164,0.8278688524590164,0.8329769466877526,0.9864719161515721,"[512-128, 32-128, 256-512, mean, 32-512, mean, 32-512, mean]",3532523
0.840983606557377,0.8457973715414654,0.840983606557377,0.8433836202461732,0.9854590163934426,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.5393442622950819,0.5348339204079909,0.5393442622950819,0.5370796221665045,0.8699841440472992,[64-512],4744267
0.8442622950819673,0.8457956164798883,0.8442622950819673,0.8450282602205883,0.9882921257726419,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.8377049180327869,0.8410291009482073,0.8377049180327869,0.8393637182627236,0.987529696318194,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.8065573770491803,0.8109125112475454,0.8065573770491803,0.8087290809189998,0.9811334318731524,"[256-512, mean, 32-512, mean, mean, 32-512]",2434123
0.8327868852459016,0.836416486384555,0.8327868852459016,0.8345977396201003,0.9852051867777479,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.8262295081967214,0.8326470559378593,0.8262295081967214,0.829425868570138,0.9804664068798709,"[256-512, mean, 32-512, mean, mean, 32-512]",2434123
0.11147540983606558,0.012426766998118784,0.11147540983606558,0.02236084917065622,0.5908196721311476,"[64-512, 256-512, 32-64, max, 128-32]",3336235
0.6950819672131148,0.7123528821060738,0.6950819672131148,0.703611457231907,0.9399153453372749,"[32-256, mean, 512-128, mean, mean]",1908907
0.7245901639344262,0.7400449847855289,0.7245901639344262,0.7322360347739079,0.8703061005106154,[max],60379
0.6688524590163935,0.788899550582597,0.6688524590163935,0.7239330158347711,0.8482538296156947,[mean],60379
0.719672131147541,0.7421648022596061,0.719672131147541,0.730745424060378,0.8707085460897609,[max],60379
0.8540983606557377,0.8572291230514079,0.8540983606557377,0.8556608780904207,0.9893594463853802,"[512-128, 32-128, 256-512, mean, 32-512, mean, 32-512, mean]",3532523
0.4524590163934426,0.41483129729966295,0.4524590163934426,0.4328289104168126,0.8101142166084386,[128-128],1288587
0.8278688524590164,0.8355786563523625,0.8278688524590164,0.8317058875731748,0.9876984681537221,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.8311475409836065,0.835900194601515,0.8311475409836065,0.8335170930266289,0.9868430529427573,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.840983606557377,0.8465328622339732,0.840983606557377,0.8437491102658862,0.9852856758935772,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
