Accuracy,Precision,Recall,F1-Score,AUC,CNN,Params,Layers,Time
0.7711864406779662,0.7786920744911217,0.9841269841269841,0.8694390715667311,0.6644731775093423,[max],12289,4,06/05/2022 16:26:19
0.7733050847457628,0.7755972696245734,0.9950738916256158,0.8717333972668425,0.6531062620213166,"[mean, max]",3073,5,06/05/2022 16:26:28
0.7508474576271187,0.8114630467571644,0.8834154351395731,0.8459119496855345,0.6717545140589716,"[32-64, 512-32, mean, max]",499975,23,06/05/2022 17:33:06
0.7707627118644068,0.7817703768624014,0.976464148877942,0.868337795083962,0.6213150460417072,"[mean, 64-256, 64-64, max]",418759,23,06/05/2022 17:47:11
0.7377118644067797,0.7873453853472883,0.9058565955117679,0.8424535505217613,0.6028886075143434,[128-128],2249860,12,06/05/2022 18:08:54
0.7563559322033898,0.7930711610486891,0.9272030651340997,0.8549078980570275,0.6625025287767088,"[32-256, mean, 512-128, mean, mean]",1915399,24,06/05/2022 19:00:02
0.735593220338983,0.8127925117004681,0.8555008210180624,0.8336,0.6117524191535966,[64-128],2174084,12,06/05/2022 19:15:10
0.7728813559322034,0.7781128823782852,0.9885057471264368,0.8707810993249759,0.6698542089627035,[mean],12289,4,06/05/2022 19:15:36
0.739406779661017,0.781860465116279,0.9200875752599891,0.845360824742268,0.5902940158617198,"[128-64, 64-128, mean, 64-512]",2733002,31,06/05/2022 20:01:08
0.7449152542372881,0.809499747347145,0.8768472906403941,0.8418286915396743,0.6312319583976438,"[256-128, mean]",828548,13,06/05/2022 20:40:46
0.7495762711864407,0.7832263978001833,0.9354132457580734,0.8525816911948116,0.5997580589674787,"[128-32, 32-128, 32-64, mean, max]",221930,32,06/05/2022 21:17:54
0.7707627118644068,0.7747863247863248,0.9923371647509579,0.8701703863690905,0.5028830621765861,"[256-64, 64-512, mean, 512-256]",5246858,31,06/05/2022 23:29:44
0.7449152542372881,0.7816091954022989,0.9304871373836892,0.8495752123938033,0.6063919259882253,"[64-512, 32-32, 64-256]",4845226,30,07/05/2022 01:14:37
0.764406779661017,0.7840858292355833,0.9600437876299945,0.8631889763779528,0.6580775546292786,"[256-512, mean, mean, 32-512, mean]",1883815,24,07/05/2022 02:55:13
0.7516949152542373,0.8034229828850856,0.8992884510125889,0.8486570247933883,0.6524397945760436,"[256-64, 128-512, mean]",2953415,22,07/05/2022 04:29:22
0.7724576271186441,0.7742346938775511,0.9967159277504105,0.871500358937545,0.6670532999380772,[max],12289,4,07/05/2022 04:31:40
0.7042372881355933,0.8083014746040416,0.8100711548987412,0.8091853471842537,0.6330804043167374,"[max, mean, mean, 128-256, 128-128]",810631,24,07/05/2022 04:33:06
0.7313559322033898,0.7847255369928401,0.8998357963875205,0.8383477817440081,0.6107706889876781,"[512-32, 256-32]",838375,21,07/05/2022 05:49:50
0.7728813559322034,0.7743306417339566,0.9972632731253421,0.8717703349282296,0.6692288180934103,[max],12289,4,07/05/2022 05:51:17
0.7597457627118644,0.7863636363636364,0.9469074986316366,0.8592003973181028,0.6134144801091815,"[32-64, 128-128]",2347975,21,07/05/2022 06:22:16
0.7538135593220339,0.7788719785138765,0.9523809523809523,0.8569317901994583,0.5991901753045571,"[256-512, mean, 64-64, mean]",1623239,23,07/05/2022 08:07:09
0.7648305084745762,0.7841823056300268,0.9605911330049262,0.8634686346863468,0.6318624838389346,"[mean, 64-256, mean, 32-512, mean, 32-512]",1198666,33,07/05/2022 08:20:27
0.7720338983050847,0.7772043010752688,0.9890530925013684,0.8704238921001927,0.6689489839195475,[mean],12289,4,07/05/2022 08:20:50
0.7733050847457628,0.7753623188405797,0.9956212370005474,0.8717948717948718,0.624461511761764,"[mean, max, max]",769,6,07/05/2022 08:20:59
0.75,0.7854176280572219,0.9315818281335523,0.8522784176264396,0.6268573030557891,"[512-512, 256-64, mean, 32-512, mean]",4468010,32,07/05/2022 12:53:27
0.7741525423728813,0.7741525423728813,1.0,0.8727012180558873,0.5,"[256-512, mean, 128-512, 128-512]",6180618,31,07/05/2022 15:29:59
